"","review","paper_id","duration","rv_year","loc_multi_results","group_level1","group_level2","group_level3","rv","rv_depth","sample_depth","rv_units","stat_test","stat_type","trt1","trt1_int","trt1_int2","trt1_value","trt2","trt2_int","trt2_int2","trt2_value","significance","trt1_name","trt1_details","trt2_name","trt2_details","trt2_group1","trt2_group2","crop_type","system_group1","system_group2","mgmt_intention","norm_interp2","norm_interp3","group_level1_alt","group_level2_alt","norm_interp2_alt","norm_interp3_alt","per_change","grouping","normative_effect"
"11","Continuous cover",4000,"2018-1","1","1","Pests","Nematodes","Nematode Community","bacterivores (Drilocephalobus) at planting, intermediate, and final growth stages","0-25 cm","0-30 cm","#/250 g soil","ANOVA","mean",0,"NA","NA",26,1,"NA","NA",15.6,NA,"monoculture","sweet potato","intercrop","sweet potato; maize",2,"Non-Legume & Non-Legume","Vegetables","Uniform Fertilization","Rainfed","Pest Management","Dependent on other factors","dependent on other factors","Other Soil Properties","Biotic Factors","Dependent on other factors","dependent on other factors",-40,"Pests | Nematodes | Nematode Community ; Other Soil Properties | Biotic Factors | Nematode Community","Dependent on other factors | dependent on other factors ; Dependent on other factors | dependent on other factors"
"12","Continuous cover",4000,"2018-1","1","1","Pests","Nematodes","Nematode Community","bacterivores (Eucephalobus) at planting, intermediate, and final growth stages","0-25 cm","0-30 cm","#/250 g soil","ANOVA","mean",0,"NA","NA",137.8,1,"NA","NA",146.9,NA,"monoculture","sweet potato","intercrop","sweet potato; maize",2,"Non-Legume & Non-Legume","Vegetables","Uniform Fertilization","Rainfed","Pest Management","Dependent on other factors","dependent on other factors","Other Soil Properties","Biotic Factors","Dependent on other factors","dependent on other factors",6.6,"Pests | Nematodes | Nematode Community ; Other Soil Properties | Biotic Factors | Nematode Community","Dependent on other factors | dependent on other factors ; Dependent on other factors | dependent on other factors"
"13","Continuous cover",4000,"2018-1","1","1","Pests","Nematodes","Nematode Community","bacterivores (Gemonhystera) at planting, intermediate, and final growth stages","0-25 cm","0-30 cm","#/250 g soil","ANOVA","mean",0,"NA","NA",5.2,1,"NA","NA",11.1,NA,"monoculture","sweet potato","intercrop","sweet potato; maize",2,"Non-Legume & Non-Legume","Vegetables","Uniform Fertilization","Rainfed","Pest Management","Dependent on other factors","dependent on other factors","Other Soil Properties","Biotic Factors","Dependent on other factors","dependent on other factors",113.46,"Pests | Nematodes | Nematode Community ; Other Soil Properties | Biotic Factors | Nematode Community","Dependent on other factors | dependent on other factors ; Dependent on other factors | dependent on other factors"
"14","Continuous cover",4000,"2018-1","1","1","Pests","Nematodes","Nematode Community","bacterivores (Heterocephalobus) at planting, intermediate, and final growth stages","0-25 cm","0-30 cm","#/250 g soil","ANOVA","mean",0,"NA","NA",65,1,"NA","NA",101.4,NA,"monoculture","sweet potato","intercrop","sweet potato; maize",2,"Non-Legume & Non-Legume","Vegetables","Uniform Fertilization","Rainfed","Pest Management","Dependent on other factors","dependent on other factors","Other Soil Properties","Biotic Factors","Dependent on other factors","dependent on other factors",56,"Pests | Nematodes | Nematode Community ; Other Soil Properties | Biotic Factors | Nematode Community","Dependent on other factors | dependent on other factors ; Dependent on other factors | dependent on other factors"
"15","Continuous cover",4000,"2018-1","1","1","Pests","Nematodes","Nematode Community","bacterivores (Plectus) at planting, intermediate, and final growth stages","0-25 cm","0-30 cm","#/250 g soil","ANOVA","mean",0,"NA","NA",28.6,1,"NA","NA",28,NA,"monoculture","sweet potato","intercrop","sweet potato; maize",2,"Non-Legume & Non-Legume","Vegetables","Uniform Fertilization","Rainfed","Pest Management","Dependent on other factors","dependent on other factors","Other Soil Properties","Biotic Factors","Dependent on other factors","dependent on other factors",-2.1,"Pests | Nematodes | Nematode Community ; Other Soil Properties | Biotic Factors | Nematode Community","Dependent on other factors | dependent on other factors ; Dependent on other factors | dependent on other factors"
"16","Continuous cover",4000,"2018-1","1","1","Pests","Nematodes","Nematode Community","bacterivores (Prismatolaimus) at planting, intermediate, and final growth stages","0-25 cm","0-30 cm","#/250 g soil","ANOVA","mean",0,"NA","NA",5.2,1,"NA","NA",15,NA,"monoculture","sweet potato","intercrop","sweet potato; maize",2,"Non-Legume & Non-Legume","Vegetables","Uniform Fertilization","Rainfed","Pest Management","Dependent on other factors","dependent on other factors","Other Soil Properties","Biotic Factors","Dependent on other factors","dependent on other factors",188.46,"Pests | Nematodes | Nematode Community ; Other Soil Properties | Biotic Factors | Nematode Community","Dependent on other factors | dependent on other factors ; Dependent on other factors | dependent on other factors"
"17","Continuous cover",4000,"2018-1","1","1","Pests","Nematodes","Nematode Community","bacterivores (Protorhabditis) at planting, intermediate, and final growth stages","0-25 cm","0-30 cm","#/250 g soil","ANOVA","mean",0,"NA","NA",0,1,"NA","NA",0,NA,"monoculture","sweet potato","intercrop","sweet potato; maize",2,"Non-Legume & Non-Legume","Vegetables","Uniform Fertilization","Rainfed","Pest Management","Dependent on other factors","dependent on other factors","Other Soil Properties","Biotic Factors","Dependent on other factors","dependent on other factors",NA,"Pests | Nematodes | Nematode Community ; Other Soil Properties | Biotic Factors | Nematode Community","Dependent on other factors | dependent on other factors ; Dependent on other factors | dependent on other factors"
"18","Continuous cover",4000,"2018-1","1","1","Pests","Nematodes","Nematode Community","bacterivores (Rhabditis) at planting, intermediate, and final growth stages","0-25 cm","0-30 cm","#/250 g soil","ANOVA","mean",0,"NA","NA",57.2,1,"NA","NA",49.4,NA,"monoculture","sweet potato","intercrop","sweet potato; maize",2,"Non-Legume & Non-Legume","Vegetables","Uniform Fertilization","Rainfed","Pest Management","Dependent on other factors","dependent on other factors","Other Soil Properties","Biotic Factors","Dependent on other factors","dependent on other factors",-13.64,"Pests | Nematodes | Nematode Community ; Other Soil Properties | Biotic Factors | Nematode Community","Dependent on other factors | dependent on other factors ; Dependent on other factors | dependent on other factors"
"19","Continuous cover",4000,"2018-1","1","1","Pests","Nematodes","Nematode Community","bacterivores (Tyocephalus) at planting, intermediate, and final growth stages","0-25 cm","0-30 cm","#/250 g soil","ANOVA","mean",0,"NA","NA",0,1,"NA","NA",0.7,NA,"monoculture","sweet potato","intercrop","sweet potato; maize",2,"Non-Legume & Non-Legume","Vegetables","Uniform Fertilization","Rainfed","Pest Management","Dependent on other factors","dependent on other factors","Other Soil Properties","Biotic Factors","Dependent on other factors","dependent on other factors",Inf,"Pests | Nematodes | Nematode Community ; Other Soil Properties | Biotic Factors | Nematode Community","Dependent on other factors | dependent on other factors ; Dependent on other factors | dependent on other factors"
"20","Continuous cover",4000,"2018-1","1","1","Pests","Nematodes","Nematode Community","bacterivores (Wilsonema) at planting, intermediate, and final growth stages","0-25 cm","0-30 cm","#/250 g soil","ANOVA","mean",0,"NA","NA",44.2,1,"NA","NA",26,NA,"monoculture","sweet potato","intercrop","sweet potato; maize",2,"Non-Legume & Non-Legume","Vegetables","Uniform Fertilization","Rainfed","Pest Management","Dependent on other factors","dependent on other factors","Other Soil Properties","Biotic Factors","Dependent on other factors","dependent on other factors",-41.18,"Pests | Nematodes | Nematode Community ; Other Soil Properties | Biotic Factors | Nematode Community","Dependent on other factors | dependent on other factors ; Dependent on other factors | dependent on other factors"
"21","Continuous cover",4000,"2018-1","1","1","Pests","Nematodes","Herbivores","herbivores (Criconemella) at planting, intermediate, and final growth stages","0-25 cm","0-30 cm","#/250 g soil","ANOVA","mean",0,"NA","NA",10.4,1,"NA","NA",13.7,NA,"monoculture","sweet potato","intercrop","sweet potato; maize",2,"Non-Legume & Non-Legume","Vegetables","Uniform Fertilization","Rainfed","Pest Management","Dependent on other factors","assumed societal harm",NA,"NA","NA","NA",31.73,"Pests | Nematodes | Herbivores","Dependent on other factors | assumed societal harm"
"22","Continuous cover",4000,"2018-1","1","1","Pests","Nematodes","Herbivores","herbivores (Ditylenchus) at planting, intermediate, and final growth stages","0-25 cm","0-30 cm","#/250 g soil","ANOVA","mean",0,"NA","NA",0,1,"NA","NA",3.3,NA,"monoculture","sweet potato","intercrop","sweet potato; maize",2,"Non-Legume & Non-Legume","Vegetables","Uniform Fertilization","Rainfed","Pest Management","Dependent on other factors","assumed societal harm",NA,"NA","NA","NA",Inf,"Pests | Nematodes | Herbivores","Dependent on other factors | assumed societal harm"
"23","Continuous cover",4000,"2018-1","1","1","Pests","Nematodes","Herbivores","herbivores (Helicotylenchus) at planting, intermediate, and final growth stages","0-25 cm","0-30 cm","#/250 g soil","ANOVA","mean",0,"NA","NA",0,1,"NA","NA",0,NA,"monoculture","sweet potato","intercrop","sweet potato; maize",2,"Non-Legume & Non-Legume","Vegetables","Uniform Fertilization","Rainfed","Pest Management","Dependent on other factors","assumed societal harm",NA,"NA","NA","NA",NA,"Pests | Nematodes | Herbivores","Dependent on other factors | assumed societal harm"
"24","Continuous cover",4000,"2018-1","1","1","Pests","Nematodes","Herbivores","herbivores (Longidorus) at planting, intermediate, and final growth stages","0-25 cm","0-30 cm","#/250 g soil","ANOVA","mean",0,"NA","NA",0,1,"NA","NA",0.7,NA,"monoculture","sweet potato","intercrop","sweet potato; maize",2,"Non-Legume & Non-Legume","Vegetables","Uniform Fertilization","Rainfed","Pest Management","Dependent on other factors","assumed societal harm",NA,"NA","NA","NA",Inf,"Pests | Nematodes | Herbivores","Dependent on other factors | assumed societal harm"
"25","Continuous cover",4000,"2018-1","1","1","Pests","Nematodes","Herbivores","herbivores (Meloidogyne) at planting, intermediate, and final growth stages","0-25 cm","0-30 cm","#/250 g soil","ANOVA","mean",0,"NA","NA",59.8,1,"NA","NA",69.6,NA,"monoculture","sweet potato","intercrop","sweet potato; maize",2,"Non-Legume & Non-Legume","Vegetables","Uniform Fertilization","Rainfed","Pest Management","Dependent on other factors","assumed societal harm",NA,"NA","NA","NA",16.39,"Pests | Nematodes | Herbivores","Dependent on other factors | assumed societal harm"
"26","Continuous cover",4000,"2018-1","1","1","Pests","Nematodes","Herbivores","herbivores (Paratrichodorus) at planting, intermediate, and final growth stages","0-25 cm","0-30 cm","#/250 g soil","ANOVA","mean",0,"NA","NA",5.2,1,"NA","NA",2,NA,"monoculture","sweet potato","intercrop","sweet potato; maize",2,"Non-Legume & Non-Legume","Vegetables","Uniform Fertilization","Rainfed","Pest Management","Dependent on other factors","assumed societal harm",NA,"NA","NA","NA",-61.54,"Pests | Nematodes | Herbivores","Dependent on other factors | assumed societal harm"
"27","Continuous cover",4000,"2018-1","1","1","Pests","Nematodes","Herbivores","herbivores (Pratylenchus) at planting, intermediate, and final growth stages","0-25 cm","0-30 cm","#/250 g soil","ANOVA","mean",0,"NA","NA",39,1,"NA","NA",51.4,NA,"monoculture","sweet potato","intercrop","sweet potato; maize",2,"Non-Legume & Non-Legume","Vegetables","Uniform Fertilization","Rainfed","Pest Management","Dependent on other factors","assumed societal harm",NA,"NA","NA","NA",31.79,"Pests | Nematodes | Herbivores","Dependent on other factors | assumed societal harm"
"28","Continuous cover",4000,"2018-1","1","1","Pests","Nematodes","Herbivores","herbivores (Psilenchus) at planting, intermediate, and final growth stages","0-25 cm","0-30 cm","#/250 g soil","ANOVA","mean",0,"NA","NA",2.6,1,"NA","NA",7.2,NA,"monoculture","sweet potato","intercrop","sweet potato; maize",2,"Non-Legume & Non-Legume","Vegetables","Uniform Fertilization","Rainfed","Pest Management","Dependent on other factors","assumed societal harm",NA,"NA","NA","NA",176.92,"Pests | Nematodes | Herbivores","Dependent on other factors | assumed societal harm"
"29","Continuous cover",4000,"2018-1","1","1","Pests","Nematodes","Herbivores","herbivores (Rotylenchulus) at planting, intermediate, and final growth stages","0-25 cm","0-30 cm","#/250 g soil","ANOVA","mean",0,"NA","NA",156,1,"NA","NA",130.7,NA,"monoculture","sweet potato","intercrop","sweet potato; maize",2,"Non-Legume & Non-Legume","Vegetables","Uniform Fertilization","Rainfed","Pest Management","Dependent on other factors","assumed societal harm",NA,"NA","NA","NA",-16.22,"Pests | Nematodes | Herbivores","Dependent on other factors | assumed societal harm"
"30","Continuous cover",4000,"2018-1","1","1","Pests","Nematodes","Herbivores","herbivores (Rotylenchus) at planting, intermediate, and final growth stages","0-25 cm","0-30 cm","#/250 g soil","ANOVA","mean",0,"NA","NA",26,1,"NA","NA",7.8,NA,"monoculture","sweet potato","intercrop","sweet potato; maize",2,"Non-Legume & Non-Legume","Vegetables","Uniform Fertilization","Rainfed","Pest Management","Dependent on other factors","assumed societal harm",NA,"NA","NA","NA",-70,"Pests | Nematodes | Herbivores","Dependent on other factors | assumed societal harm"
"31","Continuous cover",4000,"2018-1","1","1","Pests","Nematodes","Herbivores","herbivores (Scutellonema) at planting, intermediate, and final growth stages","0-25 cm","0-30 cm","#/250 g soil","ANOVA","mean",0,"NA","NA",49.4,1,"NA","NA",23.4,NA,"monoculture","sweet potato","intercrop","sweet potato; maize",2,"Non-Legume & Non-Legume","Vegetables","Uniform Fertilization","Rainfed","Pest Management","Dependent on other factors","assumed societal harm",NA,"NA","NA","NA",-52.63,"Pests | Nematodes | Herbivores","Dependent on other factors | assumed societal harm"
"32","Continuous cover",4000,"2018-1","1","1","Pests","Nematodes","Herbivores","herbivores (Trichodorus) at planting, intermediate, and final growth stages","0-25 cm","0-30 cm","#/250 g soil","ANOVA","mean",0,"NA","NA",0,1,"NA","NA",9.1,NA,"monoculture","sweet potato","intercrop","sweet potato; maize",2,"Non-Legume & Non-Legume","Vegetables","Uniform Fertilization","Rainfed","Pest Management","Dependent on other factors","assumed societal harm",NA,"NA","NA","NA",Inf,"Pests | Nematodes | Herbivores","Dependent on other factors | assumed societal harm"
"33","Continuous cover",4000,"2018-1","1","1","Pests","Nematodes","Herbivores","herbivores (Tylenchorhynchus) at planting, intermediate, and final growth stages","0-25 cm","0-30 cm","#/250 g soil","ANOVA","mean",0,"NA","NA",7.8,1,"NA","NA",0.7,NA,"monoculture","sweet potato","intercrop","sweet potato; maize",2,"Non-Legume & Non-Legume","Vegetables","Uniform Fertilization","Rainfed","Pest Management","Dependent on other factors","assumed societal harm",NA,"NA","NA","NA",-91.03,"Pests | Nematodes | Herbivores","Dependent on other factors | assumed societal harm"
"34","Continuous cover",4000,"2018-1","1","1","Pests","Nematodes","Herbivores","herbivores (Tylenchulus) at planting, intermediate, and final growth stages","0-25 cm","0-30 cm","#/250 g soil","ANOVA","mean",0,"NA","NA",10.4,1,"NA","NA",8.5,NA,"monoculture","sweet potato","intercrop","sweet potato; maize",2,"Non-Legume & Non-Legume","Vegetables","Uniform Fertilization","Rainfed","Pest Management","Dependent on other factors","assumed societal harm",NA,"NA","NA","NA",-18.27,"Pests | Nematodes | Herbivores","Dependent on other factors | assumed societal harm"
"35","Continuous cover",4000,"2018-1","1","1","Pests","Nematodes","Herbivores","herbivores (Tylenchus) at planting, intermediate, and final growth stages","0-25 cm","0-30 cm","#/250 g soil","ANOVA","mean",0,"NA","NA",78,1,"NA","NA",72.8,NA,"monoculture","sweet potato","intercrop","sweet potato; maize",2,"Non-Legume & Non-Legume","Vegetables","Uniform Fertilization","Rainfed","Pest Management","Dependent on other factors","assumed societal harm",NA,"NA","NA","NA",-6.67,"Pests | Nematodes | Herbivores","Dependent on other factors | assumed societal harm"
"36","Continuous cover",4000,"2018-1","1","1","Pests","Nematodes","Herbivores","herbivores (Xiphinema) at planting, intermediate, and final growth stages","0-25 cm","0-30 cm","#/250 g soil","ANOVA","mean",0,"NA","NA",0,1,"NA","NA",0,NA,"monoculture","sweet potato","intercrop","sweet potato; maize",2,"Non-Legume & Non-Legume","Vegetables","Uniform Fertilization","Rainfed","Pest Management","Dependent on other factors","assumed societal harm",NA,"NA","NA","NA",NA,"Pests | Nematodes | Herbivores","Dependent on other factors | assumed societal harm"
"37","Continuous cover",4000,"2018-1","1","1","Pests","Pest Natural Enemies","Natural Enemies","nematode predators (Discolaimus) at planting, intermediate, and final growth stages","0-25 cm","0-30 cm","#/250 g soil","ANOVA","mean",0,"NA","NA",0,1,"NA","NA",2.6,NA,"monoculture","sweet potato","intercrop","sweet potato; maize",2,"Non-Legume & Non-Legume","Vegetables","Uniform Fertilization","Rainfed","Pest Management","Positive","assumed societal benefit",NA,"NA","NA","NA",Inf,"Pests | Pest Natural Enemies | Natural Enemies","Positive | assumed societal benefit"
"38","Continuous cover",4000,"2018-1","1","1","Pests","Pest Natural Enemies","Natural Enemies","nematode predators (Monochus) at planting, intermediate, and final growth stages","0-25 cm","0-30 cm","#/250 g soil","ANOVA","mean",0,"NA","NA",0,1,"NA","NA",0,NA,"monoculture","sweet potato","intercrop","sweet potato; maize",2,"Non-Legume & Non-Legume","Vegetables","Uniform Fertilization","Rainfed","Pest Management","Positive","assumed societal benefit",NA,"NA","NA","NA",NA,"Pests | Pest Natural Enemies | Natural Enemies","Positive | assumed societal benefit"
"39","Continuous cover",4000,"2018-1","1","1","Pests","Pest Natural Enemies","Natural Enemies","nematode predators (Nygolaimus) at planting, intermediate, and final growth stages","0-25 cm","0-30 cm","#/250 g soil","ANOVA","mean",0,"NA","NA",83.2,1,"NA","NA",106,NA,"monoculture","sweet potato","intercrop","sweet potato; maize",2,"Non-Legume & Non-Legume","Vegetables","Uniform Fertilization","Rainfed","Pest Management","Positive","assumed societal benefit",NA,"NA","NA","NA",27.4,"Pests | Pest Natural Enemies | Natural Enemies","Positive | assumed societal benefit"
"40","Continuous cover",4000,"2018-1","1","1","Pests","Pest Natural Enemies","Natural Enemies","nematode predators (Seinura) at planting, intermediate, and final growth stages","0-25 cm","0-30 cm","#/250 g soil","ANOVA","mean",0,"NA","NA",0,1,"NA","NA",1.3,NA,"monoculture","sweet potato","intercrop","sweet potato; maize",2,"Non-Legume & Non-Legume","Vegetables","Uniform Fertilization","Rainfed","Pest Management","Positive","assumed societal benefit",NA,"NA","NA","NA",Inf,"Pests | Pest Natural Enemies | Natural Enemies","Positive | assumed societal benefit"
"41","Continuous cover",4000,"2018-1","1","1","Pests","Pest Natural Enemies","Natural Enemies","nematode ominvores (Aporcelaimellus) at planting, intermediate, and final growth stages","0-25 cm","0-30 cm","#/250 g soil","ANOVA","mean",0,"NA","NA",2.6,1,"NA","NA",1.3,NA,"monoculture","sweet potato","intercrop","sweet potato; maize",2,"Non-Legume & Non-Legume","Vegetables","Uniform Fertilization","Rainfed","Pest Management","Positive","assumed societal benefit",NA,"NA","NA","NA",-50,"Pests | Pest Natural Enemies | Natural Enemies","Positive | assumed societal benefit"
"42","Continuous cover",4000,"2018-1","1","1","Pests","Pest Natural Enemies","Natural Enemies","nematode ominvores (Dorylaimellus) at planting, intermediate, and final growth stages","0-25 cm","0-30 cm","#/250 g soil","ANOVA","mean",0,"NA","NA",26,1,"NA","NA",13,NA,"monoculture","sweet potato","intercrop","sweet potato; maize",2,"Non-Legume & Non-Legume","Vegetables","Uniform Fertilization","Rainfed","Pest Management","Positive","assumed societal benefit",NA,"NA","NA","NA",-50,"Pests | Pest Natural Enemies | Natural Enemies","Positive | assumed societal benefit"
"43","Continuous cover",4000,"2018-1","1","1","Pests","Pest Natural Enemies","Natural Enemies","nematode ominvores (Eudorylaimus) at planting, intermediate, and final growth stages","0-25 cm","0-30 cm","#/250 g soil","ANOVA","mean",0,"NA","NA",2.6,1,"NA","NA",3.9,NA,"monoculture","sweet potato","intercrop","sweet potato; maize",2,"Non-Legume & Non-Legume","Vegetables","Uniform Fertilization","Rainfed","Pest Management","Positive","assumed societal benefit",NA,"NA","NA","NA",50,"Pests | Pest Natural Enemies | Natural Enemies","Positive | assumed societal benefit"
"44","Continuous cover",4000,"2018-1","1","1","Pests","Pest Natural Enemies","Natural Enemies","nematode ominvores (Labronema) at planting, intermediate, and final growth stages","0-25 cm","0-30 cm","#/250 g soil","ANOVA","mean",0,"NA","NA",0,1,"NA","NA",25.4,NA,"monoculture","sweet potato","intercrop","sweet potato; maize",2,"Non-Legume & Non-Legume","Vegetables","Uniform Fertilization","Rainfed","Pest Management","Positive","assumed societal benefit",NA,"NA","NA","NA",Inf,"Pests | Pest Natural Enemies | Natural Enemies","Positive | assumed societal benefit"
"45","Continuous cover",4000,"2018-1","1","1","Pests","Pest Natural Enemies","Natural Enemies","nematode ominvores (Mesodorylaimus) at planting, intermediate, and final growth stages","0-25 cm","0-30 cm","#/250 g soil","ANOVA","mean",0,"NA","NA",2.6,1,"NA","NA",2,NA,"monoculture","sweet potato","intercrop","sweet potato; maize",2,"Non-Legume & Non-Legume","Vegetables","Uniform Fertilization","Rainfed","Pest Management","Positive","assumed societal benefit",NA,"NA","NA","NA",-23.08,"Pests | Pest Natural Enemies | Natural Enemies","Positive | assumed societal benefit"
